mu1,mu2,model_label,n_tot,n_p,n_s,global_coeff_1based,local_secondary_coeff_1based,abs_error_l2_time,ref_l2_time,rel_error_percent
4.56,0.019,GPR (n_s=131),151,20,131,101,81,28.61832754815362,28.62045780564059,99.99255687137698
4.56,0.019,GPR (n_s=131),151,20,131,102,82,31.56699130264153,31.566989205861393,100.00000664231905
4.56,0.019,GPR (n_s=131),151,20,131,103,83,21.896189195491303,21.8865575711995,100.0440070315328
4.56,0.019,GPR (n_s=131),151,20,131,104,84,26.849232378691447,26.850312991560486,99.99597541797975
4.56,0.019,GPR (n_s=131),151,20,131,105,85,30.590436574648237,30.590366094950664,100.00023039834619
4.56,0.019,GPR (n_s=131),151,20,131,106,86,26.068168614083948,26.069442821531823,99.99511225668842
4.56,0.019,GPR (n_s=131),151,20,131,107,87,27.767704921485514,27.767327930083976,100.00135767979724
4.56,0.019,GPR (n_s=131),151,20,131,108,88,24.54192996999739,24.541593105325816,100.00137262756387
4.56,0.019,GPR (n_s=131),151,20,131,109,89,21.755773736494678,21.741589152495667,100.06524170749213
4.56,0.019,GPR (n_s=131),151,20,131,110,90,24.25502563781895,24.253844611081668,100.00486944134515
4.56,0.019,GPR (n_s=131),151,20,131,111,91,27.905929198740584,27.905179589247386,100.00268627367474
4.56,0.019,GPR (n_s=131),151,20,131,112,92,23.338540540811398,23.33779491032172,100.00319494833398
4.56,0.019,GPR (n_s=131),151,20,131,113,93,23.731970905333792,23.73418426398097,99.99067438500282
4.56,0.019,GPR (n_s=131),151,20,131,114,94,20.169932252937837,20.160269186301157,100.04793123815652
4.56,0.019,GPR (n_s=131),151,20,131,115,95,22.305829727980324,22.305282781307806,100.00245209477002
4.56,0.019,GPR (n_s=131),151,20,131,116,96,25.44318932569356,25.443310360427954,99.99952429643518
4.56,0.019,GPR (n_s=131),151,20,131,117,97,21.689014668862164,21.68879617974885,100.00100738238999
