mu1,mu2,model_label,n_tot,n_p,n_s,global_coeff_1based,local_secondary_coeff_1based,abs_error_l2_time,ref_l2_time,rel_error_percent
4.56,0.019,ANN (n_s=151),151,0,151,65,65,21.2456836571269,58.59187001623926,36.260463527172746
4.56,0.019,ANN (n_s=151),151,0,151,66,66,34.40334509749034,57.08094315847006,60.271157401829534
4.56,0.019,ANN (n_s=151),151,0,151,67,67,23.24999190442527,55.047099435236674,42.236543147525985
4.56,0.019,ANN (n_s=151),151,0,151,68,68,29.334924793903095,52.47381616463028,55.903928736321184
4.56,0.019,ANN (n_s=151),151,0,151,69,69,26.38406476495466,53.064898970320606,49.72037123770153
4.56,0.019,ANN (n_s=151),151,0,151,70,70,23.617996417660066,52.36574125290374,45.10199961382275
4.56,0.019,ANN (n_s=151),151,0,151,71,71,35.508226547532374,51.25996309204636,69.27087809987503
4.56,0.019,ANN (n_s=151),151,0,151,72,72,22.270503748401513,49.3101238564563,45.16416104171999
4.56,0.019,ANN (n_s=151),151,0,151,73,73,31.571424269119987,49.85744987335465,63.32338366546245
4.56,0.019,ANN (n_s=151),151,0,151,74,74,14.303616135420528,47.61811445363352,30.038182526836874
4.56,0.019,ANN (n_s=151),151,0,151,75,75,27.46844432209781,48.937388024041475,56.12977200295894
4.56,0.019,ANN (n_s=151),151,0,151,76,76,15.374728707383973,53.08534496928324,28.96228463106013
4.56,0.019,ANN (n_s=151),151,0,151,77,77,31.301667432701603,46.45745188454769,67.37706473977518
4.56,0.019,ANN (n_s=151),151,0,151,78,78,30.20530267966405,44.86899341820426,67.31887742195069
4.56,0.019,ANN (n_s=151),151,0,151,79,79,19.667304565965104,38.11450528648976,51.60057678339187
4.56,0.019,ANN (n_s=151),151,0,151,80,80,21.452243998959048,43.71260427504372,49.07564844221946
4.56,0.019,ANN (n_s=151),151,0,151,81,81,33.2710289449268,42.30656740299899,78.64270487368424
4.56,0.019,ANN (n_s=151),151,0,151,82,82,18.373827243500894,44.12734085716196,41.63819275441063
4.56,0.019,ANN (n_s=151),151,0,151,83,83,34.68492416102693,40.60859982988302,85.41275568802799
4.56,0.019,ANN (n_s=151),151,0,151,84,84,22.485187766905717,42.919189439208886,52.38959090491198
4.56,0.019,ANN (n_s=151),151,0,151,85,85,28.41982626839088,38.38730811000494,74.03443395131887
4.56,0.019,ANN (n_s=151),151,0,151,86,86,33.28198487668259,40.95189260220432,81.27093221301114
4.56,0.019,ANN (n_s=151),151,0,151,87,87,23.05383292505531,36.38449251974828,63.36169980258064
4.56,0.019,ANN (n_s=151),151,0,151,88,88,27.831391376173684,36.091072681941604,77.11433689278871
4.56,0.019,ANN (n_s=151),151,0,151,89,89,15.288884828286013,35.060728483570244,43.60686582838835
4.56,0.019,ANN (n_s=151),151,0,151,90,90,22.388812020823995,33.69457160661348,66.44634715115232
4.56,0.019,ANN (n_s=151),151,0,151,91,91,32.00797714414908,35.95122068644328,89.03168385661758
4.56,0.019,ANN (n_s=151),151,0,151,92,92,18.148146404815616,35.381411332147955,51.292884374926004
4.56,0.019,ANN (n_s=151),151,0,151,93,93,23.987435636225825,33.01805358305483,72.64945395974644
4.56,0.019,ANN (n_s=151),151,0,151,94,94,29.819055408287635,34.772571776805336,85.75452974743189
4.56,0.019,ANN (n_s=151),151,0,151,95,95,20.487528449352304,31.435906399745146,65.17238023560981
4.56,0.019,ANN (n_s=151),151,0,151,96,96,23.39753777386709,31.33279306754335,74.67428046848418
4.56,0.019,ANN (n_s=151),151,0,151,97,97,17.847693239373314,27.849895084166995,64.08531588874799
4.56,0.019,ANN (n_s=151),151,0,151,98,98,19.007685154662717,29.92972158716103,63.50772458510424
4.56,0.019,ANN (n_s=151),151,0,151,99,99,19.754864582957296,30.1478135489837,65.52669085225666
4.56,0.019,ANN (n_s=151),151,0,151,100,100,25.787107943189067,31.354532392893162,82.24363744309575
4.56,0.019,ANN (n_s=151),151,0,151,101,101,18.9133465132163,28.62045780564059,66.08331229938891
4.56,0.019,ANN (n_s=151),151,0,151,102,102,20.15583957246995,31.566989205861393,63.85100410123178
4.56,0.019,ANN (n_s=151),151,0,151,103,103,14.43735194514051,21.8865575711995,65.96447110594774
4.56,0.019,ANN (n_s=151),151,0,151,104,104,22.973202677325368,26.850312991560486,85.56027888593417
4.56,0.019,ANN (n_s=151),151,0,151,105,105,25.715288431221996,30.590366094950664,84.06335625864457
4.56,0.019,ANN (n_s=151),151,0,151,106,106,21.332847481979453,26.069442821531823,81.8308531870876
4.56,0.019,ANN (n_s=151),151,0,151,107,107,21.089998053348108,27.767327930083976,75.95256593090672
4.56,0.019,ANN (n_s=151),151,0,151,108,108,16.937947407357814,24.541593105325816,69.01731006078036
4.56,0.019,ANN (n_s=151),151,0,151,109,109,27.833673726658084,21.741589152495667,128.02041990322093
4.56,0.019,ANN (n_s=151),151,0,151,110,110,20.078027513294483,24.253844611081668,82.78286529518195
4.56,0.019,ANN (n_s=151),151,0,151,111,111,23.22827464550423,27.905179589247386,83.24001130763088
4.56,0.019,ANN (n_s=151),151,0,151,112,112,20.952905997755746,23.33779491032172,89.78100149679868
