mu1,mu2,model_label,n_tot,n_p,n_s,global_coeff_1based,local_secondary_coeff_1based,abs_error_l2_time,ref_l2_time,rel_error_percent
4.875,0.0225,ANN (n_s=131),151,20,131,114,94,5.169403623607244,17.75505955413802,29.115101573412947
4.875,0.0225,ANN (n_s=131),151,20,131,115,95,11.210266537004566,24.790467782786628,45.22006859744883
4.875,0.0225,ANN (n_s=131),151,20,131,116,96,7.6852774325619455,21.696716862544907,35.42138417185624
4.875,0.0225,ANN (n_s=131),151,20,131,117,97,12.126585651228314,23.797872521373684,50.9565955542329
4.875,0.0225,ANN (n_s=131),151,20,131,118,98,6.633665917327117,19.90070494128179,33.333823786142965
4.875,0.0225,ANN (n_s=131),151,20,131,119,99,8.693427306264764,20.861025800236696,41.673057641135394
4.875,0.0225,ANN (n_s=131),151,20,131,120,100,8.16451809485276,21.314092565001456,38.30572692669641
4.875,0.0225,ANN (n_s=131),151,20,131,121,101,9.894600270459579,20.249297897612472,48.86391775403837
4.875,0.0225,ANN (n_s=131),151,20,131,122,102,9.221750865941043,21.07567313355866,43.75542744234967
4.875,0.0225,ANN (n_s=131),151,20,131,123,103,7.1151185365943626,14.96745652614693,47.53725874643316
4.875,0.0225,ANN (n_s=131),151,20,131,124,104,11.027758244106792,19.40037693499889,56.843010221169315
4.875,0.0225,ANN (n_s=131),151,20,131,125,105,7.015756695227511,19.497718622081475,35.98244918398841
4.875,0.0225,ANN (n_s=131),151,20,131,126,106,10.330471822920478,19.75738132844846,52.28664493125783
4.875,0.0225,ANN (n_s=131),151,20,131,127,107,8.650963711675464,17.316125871437677,49.95900223816758
4.875,0.0225,ANN (n_s=131),151,20,131,128,108,9.09727698350829,18.61284469805931,48.87633852366925
4.875,0.0225,ANN (n_s=131),151,20,131,129,109,11.52243916499252,18.435577888012347,62.501101050295446
4.875,0.0225,ANN (n_s=131),151,20,131,130,110,7.209936618814386,16.954021267454017,42.52641013642601
4.875,0.0225,ANN (n_s=131),151,20,131,131,111,11.993822235244563,19.3341824071041,62.03428716405192
4.875,0.0225,ANN (n_s=131),151,20,131,132,112,6.894355124727221,15.291745519740614,45.085468600213574
4.875,0.0225,ANN (n_s=131),151,20,131,133,113,11.788396807130722,18.708535710175546,63.01079352094364
4.875,0.0225,ANN (n_s=131),151,20,131,134,114,7.77105178710454,15.069046661537245,51.56963118934153
4.875,0.0225,ANN (n_s=131),151,20,131,135,115,8.467495838216125,16.71545929250865,50.6566746987981
4.875,0.0225,ANN (n_s=131),151,20,131,136,116,12.702922233426579,18.309554557462796,69.37865251478219
4.875,0.0225,ANN (n_s=131),151,20,131,137,117,8.41112820950854,16.87594496648669,49.840931729819495
